# Based on IANA (Ver: tzdata2018g)
# I18NOK:FileNotLocalizable
#
# sas_historictimezone.txt
# zone
# tzid;format;offset;save;mode;untilYear;untilMonth;untilDay;untilDOW;untilTime;timeType

America/Araguaina;LMT;-11568;0;1;1914;1;1;-1;0;0
America/Argentina/La_Rioja;-03;-10800;0;1;3999;1;1;-1;0;0
America/Argentina/La_Rioja;-03/-02;-10800;Arg;1;2008;10;18;-1;0;0
America/Argentina/La_Rioja;-04;-14400;0;1;2004;6;20;-1;0;0
America/Argentina/La_Rioja;-03;-10800;0;1;2004;6;1;-1;0;0
America/Argentina/La_Rioja;-04/-03;-14400;Arg;1;2000;3;3;-1;0;0
America/Argentina/La_Rioja;-03/-02;-10800;Arg;1;1999;10;3;-1;0;0
America/Argentina/La_Rioja;-04;-14400;0;1;1991;5;7;-1;0;0
America/Argentina/La_Rioja;-03/-02;-10800;Arg;1;1991;3;1;-1;0;0
America/Argentina/La_Rioja;-04/-03;-14400;Arg;1;1969;10;5;-1;0;0
America/Argentina/La_Rioja;-04;-14400;0;1;1930;12;1;-1;0;0
America/Argentina/La_Rioja;CMT;-15408;0;1;1920;5;1;-1;0;0
America/Argentina/La_Rioja;LMT;-16044;0;1;1894;10;31;-1;0;0
America/Argentina/Rio_Gallegos;-03;-10800;0;1;3999;1;1;-1;0;0
America/Argentina/Rio_Gallegos;-03/-02;-10800;Arg;1;2008;10;18;-1;0;0
America/Argentina/Rio_Gallegos;-04;-14400;0;1;2004;6;20;-1;0;0
America/Argentina/Rio_Gallegos;-03;-10800;0;1;2004;6;1;-1;0;0
America/Argentina/Rio_Gallegos;-04/-03;-14400;Arg;1;2000;3;3;-1;0;0
America/Argentina/Rio_Gallegos;-03/-02;-10800;Arg;1;1999;10;3;-1;0;0
America/Argentina/Rio_Gallegos;-04/-03;-14400;Arg;1;1969;10;5;-1;0;0
America/Argentina/Rio_Gallegos;-04;-14400;0;1;1930;12;1;-1;0;0
America/Argentina/Rio_Gallegos;CMT;-15408;0;1;1920;5;1;-1;0;0
America/Argentina/Rio_Gallegos;LMT;-16612;0;1;1894;10;31;-1;0;0
America/Argentina/Salta;-03;-10800;0;1;3999;1;1;-1;0;0
America/Argentina/Salta;-03/-02;-10800;Arg;1;2008;10;18;-1;0;0
America/Argentina/Salta;-04/-03;-14400;Arg;1;2000;3;3;-1;0;0
America/Argentina/Salta;-03/-02;-10800;Arg;1;1999;10;3;-1;0;0
America/Argentina/Salta;-04;-14400;0;1;1991;10;20;-1;0;0
